"fullname","trial"
"GB_06_D_Low_20190702_C2",1
"GB_06_D_Low_20190702_C2",3
"GB_W_01_20190528_C2",1
"GB_W_01_20190528_C2",4
"GB_W_01_20190528_C2",5
"GB_W_01_20190528_C2",6
"GB_W_01_20190528_C2",7
"GB_W_02_20190528_C2",1
"GB_W_02_20190528_C2",2
"GB_W_02_20190528_C2",3
"GB_W_03_20190528_C2",1
"GB_W_03_20190528_C2",2
"GB_W_03_20190528_C2",3
"GB_W_04_20190529_C2",2
"GB_W_04_20190529_C2",3
"GB_W_04_20190529_C2",4
"GB_W_05_20190529_C1",1
"GB_W_05_20190529_C1",4
"GB_W_08_20190526_C1",2
"GB_W_09_20190529_C2",1
"GB_W_09_20190529_C2",2
"GB_W_09_20190529_C2",3
"GB_W_10_20190529_C2",3
"GB_W_12_20190611_C2",1
"GB_W_15_2_20190612_C2",2
"GB_W_15_20190612_C2",4
"GB_W_17_20190613_C2",3
"GB_W_19_20190613_C2",2
"GB_W_19_20190613_C2",3
"LO_02_A_High_20190527_C2",1
"LO_02_A_High_20190527_C2",3
"LO_02_A_Low_20190625_C2",2
"LO_02_B_High_20190525_C2",4
"LO_02_B_Low_20190619_C2",1
"LO_02_B_Low_20190619_C2",2
"LO_02_D_Low_20190701_C2",2
"LO_03_A_Low_20190701_C2",3
"LO_03_C_High_20190530_C2",2
"LO_03_D_High_20190524_C2",1
"LO_04_A_High_20190527_C2",1
"LO_04_C_High_20190519_C2",1
"LO_04_C_High_20190519_C2",2
"LO_04_C_High_20190519_C2",3
"LO_04_C_Low_20190618_C2",2
"LO_04_D_Low_20190702_C2",4
"LO_05_A_High_20190526_C2",1
"LO_05_A_High_20190526_C2",3
"LO_05_B_High_20190518_C2",3
"LO_05_C_High_20190529_C2",2
"LO_05_C_High_20190529_C2",5
"LO_05_C_High_20190529_C2",6
"LO_05_C_Low_20190630_C2",1
"LO_05_C_Low_20190630_C2",3
"LO_05_D_Low_20190701_C2",4
"LO_05_D_Low_20190701_C2",5
"LO_06_A_Low_20190629_C2",4
"LO_06_B_Low_20190617_C2",4
"LO_06_C_High_20190525_C2",3
"LO_06_C_High_20190525_C2",4
"LO_06_C_Low_20190622_C1",2
"LO_06_C_Low_20190622_C1",4
"LO_06_D_Low_20190701_C2",2
"LO_W_01_20190604_C2",2
"LO_W_01_20190604_C2",4
"LO_W_02_20190611_C2",4
"LO_W_04_20190611_C2",1
"LO_W_04_20190611_C2",4
"LO_W_05_20190612_C2",1
"LO_W_05_20190612_C2",2
"LO_W_05_20190612_C2",3
"LO_W_05_20190612_C2",4
"MI_01_A_High_20190530_C2",1
"MI_01_A_High_20190530_C2",2
"MI_01_A_Low_20190701_C2",2
"MI_01_A_Low_20190701_C2",3
"MI_01_B_Low_20190619_C2",2
"MI_01_C_High_20190527_C2",2
"MI_01_C_Low_20190625_C2",3
"MI_02_A_High_20190531_C2",1
"MI_02_B_High_20190519_C2",3
"MI_02_B_Low_20190618_C2",2
"MI_02_C_High_20190526_C2",1
"MI_02_C_Low_20190623_C2",3
"MI_02_C_Low_20190623_C2",4
"MI_02_C_Low_20190702_C2",2
"MI_02_C_Low_20190702_C2",3
"MI_02_C_Low_20190702_C2",4
"MI_02_D_Low_20190630_C2",2
"MI_03_B_High_20190518_C2",2
"MI_03_D_Low_20190622_C2",1
"MI_03_D_Low_20190622_C2",3
"MI_05_A_Low_20190630_C2",2
"MI_05_A_Low_20190630_C2",3
"MI_05_A_Low_20190630_C2",6
"MI_05_B_High_20190527_C2",2
"MI_05_B_High_20190527_C2",3
"MI_05_C_High_20190529_C2",2
"MI_05_C_Low_20190624_C2",2
"MI_05_D_High_20190523_C2",1
"MI_05_D_High_20190523_C2",2
"MI_05_D_High_20190523_C2",3
"MI_05_D_High_20190523_C2",4
"MI_05_D_High_20190523_C2",5
"MI_05_D_High_20190523_C2",7
"MI_06_A_High_20190529_C2",1
"MI_06_A_High_20190529_C2",3
"MI_06_A_Low_20190629_C2",2
"MI_06_A_Low_20190629_C2",3
"MI_06_B_High_20190526_C2",1
"MI_06_B_High_20190526_C2",2
"MI_06_C_High_20190518_C2",3
"PB_01_A_High_20190530_C2",1
"PB_01_A_High_20190530_C2",3
"PB_01_A_High_20190530_C2",4
"PB_01_A_High_20190530_C2",5
"PB_01_B_Low_20190619_C2",2
"PB_01_B_Low_20190619_C2",4
"PB_01_C_High_20190524_C2",2
"PB_01_C_High_20190524_C2",4
"PB_01_D_High_20190527_C2",2
"PB_01_D_High_20190527_C2",4
"PB_02_A_High_20190531_C2",1
"PB_02_B_Low_20190630_C2",4
"PB_02_C_Low_20190618_C2",2
"PB_02_D_High_20190526_C2",1
"PB_02_D_High_20190526_C2",2
"PB_02_D_Low_20190623_C2",2
"PB_04_A_High_20190523_C2",1
"PB_04_A_High_20190523_C2",2
"PB_04_A_High_20190523_C2",4
"PB_04_B_High_20190527_C2",2
"PB_04_C_High_20190531_C2",2
"PB_04_C_High_20190531_C2",4
"PB_04_D_High_20190530_C2",4
"PB_04_D_High_20190530_C2",5
"PB_05_A_High_20190526_C2",2
"PB_05_A_High_20190526_C2",4
"PB_05_A_Low_20190622_C1",1
"PB_05_A_Low_20190622_C1",2
"PB_05_B_High_20190518_C2",2
"PB_05_B_High_20190518_C2",3
"PB_05_B_High_20190518_C2",4
"PB_05_E_High_20190529_C2",3
"PB_06_A_Low_20190617_C2",2
"PB_06_A_Low_20190617_C2",3
"PB_06_B_High_20190528_C2",3
"PB_06_C_High_20190525_C2",3
"PB_06_C_High_20190525_C2",5
"PB_06_C_Low_20190620_C2",2
"PB_06_C_Low_20190622_C1",2
"PB_06_D_High_20190530_C2",1
"PB_06_D_High_20190530_C2",3
"PB_06_D_High_20190530_C2",5
"PB_W_01_20190528_C2",1
"PB_W_01_20190528_C2",3
"PB_W_02_20190526_C1",1
"PB_W_02_20190526_C1",4
"PB_W_03_20190528_C2",1
"PB_W_03_20190528_C2",3
"PB_W_04_20190526_C1",4
"PB_W_05_20190528_C2",1
"PB_W_05_20190528_C2",2
"PB_W_07_2_20190604_C2",1
"PB_W_07_2_20190604_C2",3
"PB_W_07_2_20190604_C2",4
"PB_W_07_20190604_C2",1
"PB_W_07_20190604_C2",2
"PB_W_08_20190605_C2",1
"PB_W_08_20190605_C2",2
"PB_W_08_20190605_C2",3
"PB_W_11_20190610_C2",1
"PB_W_11_20190610_C2",2
"PB_W_11_20190610_C2",3
"PB_W_12_20190610_C2",3
"PB_W_13_20190610_C2",4
"PB_W_14_20190610_C2",2
"PB_W_14_20190610_C2",3
"PB_W_14_20190610_C2",6
"PB_W_14_20190610_C2",7
"PB_W_15_20190610_C2",1
"PB_W_15_20190610_C2",3
"test",3
