fullname,trial,frame_indexed_0,start_of_trial_indexed_0,difference,verification
LO_06_C_Low_20190622_C1,4,610,506,104,ok
LO_06_D_Low_20190701_C2,2,300,277,23,
LO_W_01_20190604_C2,2,291,243,48,
LO_W_01_20190604_C2,4,811,772,39,
LO_W_02_20190611_C2,4,600,526,74,
LO_W_04_20190611_C2,1,51,0,51,
LO_W_04_20190611_C2,4,783,676,107,ok
LO_W_05_20190612_C2,1,58,0,58,
LO_W_05_20190612_C2,2,224,196,28,
LO_W_05_20190612_C2,3,402,375,27,
LO_W_05_20190612_C2,4,626,544,82,
MI_01_A_High_20190530_C2,1,20,0,20,
MI_01_A_High_20190530_C2,2,260,163,97,
MI_01_A_Low_20190701_C2,2,240,230,10,
MI_01_A_Low_20190701_C2,3,468,364,104,ok
MI_01_B_Low_20190619_C2,2,207,165,42,
MI_01_C_High_20190527_C2,2,218,187,31,
MI_01_C_Low_20190625_C2,3,493,460,33,
MI_02_A_High_20190531_C2,1,36,0,36,
MI_02_B_High_20190519_C2,3,755,688,67,
MI_02_B_Low_20190618_C2,2,207,175,32,
MI_02_C_High_20190526_C2,1,13,0,13,
MI_02_C_Low_20190623_C2,3,408,336,72,
MI_02_C_Low_20190623_C2,4,594,514,80,
MI_02_C_Low_20190702_C2,2,243,218,25,
MI_02_C_Low_20190702_C2,3,405,336,69,
MI_02_C_Low_20190702_C2,4,594,514,80,
MI_02_D_Low_20190630_C2,2,215,171,44,
MI_03_B_High_20190518_C2,2,243,209,34,
MI_03_D_Low_20190622_C2,1,30,0,30,
MI_03_D_Low_20190622_C2,3,400,306,94,
MI_05_A_Low_20190630_C2,2,385,303,82,
MI_05_A_Low_20190630_C2,3,534,503,31,
MI_05_A_Low_20190630_C2,6,1232,1203,29,
MI_05_B_High_20190527_C2,2,246,164,82,
MI_05_B_High_20190527_C2,3,503,477,26,
MI_05_C_High_20190529_C2,2,268,203,65,
MI_05_C_Low_20190624_C2,2,272,203,69,
MI_05_D_High_20190523_C2,1,24,0,24,
MI_05_D_High_20190523_C2,2,312,262,50,
MI_05_D_High_20190523_C2,3,594,552,42,
MI_05_D_High_20190523_C2,4,898,827,71,
MI_05_D_High_20190523_C2,5,1175,1076,99,
MI_05_D_High_20190523_C2,7,1681,1594,87,
MI_06_A_High_20190529_C2,1,14,0,14,
MI_06_A_High_20190529_C2,3,680,591,89,
MI_06_A_Low_20190629_C2,2,157,151,6,
MI_06_A_Low_20190629_C2,3,291,279,12,
MI_06_B_High_20190526_C2,1,91,0,91,
MI_06_B_High_20190526_C2,2,307,243,64,
MI_06_C_High_20190518_C2,3,613,546,67,
PB_01_A_High_20190530_C2,1,25,0,25,
PB_01_A_High_20190530_C2,3,409,402,7,
PB_01_A_High_20190530_C2,4,658,591,67,
PB_01_A_High_20190530_C2,5,801,787,14,
PB_01_B_Low_20190619_C2,2,246,207,39,
PB_01_B_Low_20190619_C2,4,611,598,13,
PB_01_C_High_20190524_C2,2,178,161,17,
PB_01_C_High_20190524_C2,4,603,585,18,
PB_01_D_High_20190527_C2,2,206,127,79,
